,0
1391,HNF4G
1392,DOLK
1393,IQCG
1394,TMEM256
1395,C21orf59
1396,DDOST
1397,NID1
1398,SSBP4
1399,ACADM
1400,TM2D1
1401,ACAA1
1402,ARL6IP4
1403,CAMK2B
1404,COQ4
1405,KCTD6
1406,SARAF
1407,PDLIM3
1408,FUZ
1409,GBP1
1410,PAX8-AS1
1411,FRMD8
1412,HS6ST1
1413,ENTPD6
1414,STMN3
1415,B4GALT5
1416,ARMC9
1417,AEBP1
1418,DENND2A
1419,ETHE1
1420,MED11
1421,RPL41
1422,OSBPL10
1423,ATPIF1
1424,RAB5A
1425,PACSIN3
1426,MEGF8
1427,NT5E
1428,PIGQ
1429,PYGB
1430,UBTD1
1431,NCEH1
1432,RASSF4
1433,TICAM1
1434,TMEM14C
1435,COX6A1
1436,PINLYP
1437,FUT8
1438,CD34
1439,SNAPIN
1440,GLB1
1441,NAPEPLD
1442,EPAS1
1443,WDFY2
1444,ACAD8
1445,FAM213B
1446,CCDC159
1447,P4HB
1448,BOLA3
1449,PLP2
1450,SLC6A11
1451,VGLL4
1452,ADAMTS9-AS1
1453,NFATC2
1454,IFI27L1
1455,SHISA4
1456,WDR35
1457,OSMR
1458,CALHM2
1459,ATP13A1
1460,RHOG
1461,RHPN2
1462,CPNE3
1463,ITFG1
1464,PIEZO1
1465,NRAV
1466,BTN3A3
1467,SCN7A
1468,OLFML3
1469,ZIC2
1470,FAM111A
1471,C16orf62
1472,CDK2AP1
1473,STX8
1474,TMEM230
1475,TBC1D9B
1476,SIX5
1477,IER3
1478,TCF25
1479,STX4
1480,GJA1
1481,RPN1
1482,CTSK
1483,OSTF1
1484,MAPKAPK3
1485,NMT1
1486,CYHR1
1487,PARP3
1488,MDP1
1489,BAIAP2
1490,GPR87
1491,VPS16
1492,RBCK1
1493,LINC01023
1494,FLOT2
1495,MLF2
1496,LINC01268
1497,NDUFS8
1498,PROS1
1499,ASL
1500,TMEM176A
1501,OGDH
1502,TAX1BP3
1503,TANC1
1504,RALB
1505,AR
1506,C12orf76
1507,ZNF446
1508,PRPS1
1509,YIPF1
1510,SLC27A3
1511,TINF2
1512,SSR3
1513,TMEM132A
1514,VWA1
1515,DYNC2LI1
1516,EIF2D
1517,FIBP
1518,NECAB3
1519,MAP3K5
1520,NPTN
1521,ESD
1522,IAH1
1523,PSAP
1524,AGA
1525,NPY2R
1526,MDH1B
1527,C9orf89
1528,PPCS
1529,ZDHHC23
1530,IFITM1
1531,TMEM154
1532,LINC01314
1533,TMEM80
1534,RHBDF1
1535,RBPMS2
1536,INTU
1537,CNTNAP3P2
1538,TCF7L2
1539,TCEA2
1540,CD47
1541,CD101
1542,CALM2
1543,MYEOV2
1544,ALDH1L1-AS2
1545,FUBP3
1546,ENTPD5
1547,MAPK1IP1L
1548,SNX21
1549,LARS2
1550,LINC01138
1551,PSMB5
1552,INPPL1
1553,ACSF2
1554,SALL2
1555,MED29
1556,LINC00883
1557,MRPL55
1558,COL1A2
1559,DNAJC19
1560,TMEM178A
1561,CYB5B
1562,PLBD1
1563,KXD1
1564,EDEM3
1565,CCND3
1566,MTCH1
1567,RNASEH2C
1568,REEP3
1569,PALLD
1570,PPP1R16A
1571,SRR
1572,KCNJ16
1573,ARF5
1574,CAD
1575,MTHFS
1576,KIAA1033
1577,C8orf88
1578,COPZ2
1579,TRIM47
1580,ADGRV1
1581,MOCS1
1582,DPP8
1583,PSMA5
1584,SLC22A4
1585,ASTN1
1586,POLR3H
1587,DPCD
1588,TYK2
1589,LIFR-AS1
1590,CSF1
1591,ADAMTS1
1592,C9orf50
1593,TIMMDC1
1594,MRPL34
1595,MIER1
1596,TXN2
1597,FAM84B
1598,NRP2
1599,PARD3B
1600,ERBB2
1601,NPC2
1602,PRMT2
1603,FSIP1
1604,CASQ1
1605,CASP7
1606,TMEM263
1607,ABCG2
1608,HSD17B10
1609,TWF2
1610,UACA
1611,GMNN
1612,EXTL2
1613,NRCAM
1614,FAM96A
1615,SLC16A2
1616,MRPS6
1617,B4GALT7
1618,HSD17B6
1619,SAMD4A
1620,MYO6
1621,COL22A1
1622,SPG20
1623,FAM129A
1624,ZDHHC4
1625,ST6GALNAC5
1626,FAM225A
1627,PIGN
1628,HLA-G
1629,PHYH
1630,CRY1
1631,SH3GLB1
1632,GPX7
1633,RUVBL2
1634,OAS2
1635,TRIM14
1636,NUCKS1
1637,XPO6
1638,CNTNAP3B
1639,CERCAM
1640,HDAC1
1641,GBA
1642,NDUFB1
1643,IDH1-AS1
1644,ATF7
1645,OAF
1646,COX8A
1647,LCAT
1648,ZFAND3
1649,STARD3NL
1650,SQSTM1
1651,SLC12A9
1652,DPAGT1
1653,UBE2A
1654,APCDD1L-AS1
1655,FJX1
1656,TRDMT1
1657,SPRY1
1658,CHST2
1659,RPS9
1660,EDNRB-AS1
1661,VCL
1662,SAP30BP
1663,MSRB1
1664,HINT2
1665,BBS1
1666,C1orf61
1667,DNMBP
1668,TPST2
1669,FDPS
1670,MRPL27
1671,VPS25
1672,MAN2C1
1673,HPR
1674,RB1
1675,XYLT2
1676,LRRCC1
1677,SAPCD1
1678,TP53TG1
1679,GDPD2
1680,GDE1
1681,JPH1
1682,C14orf142
