bcell,epi,fibro
AC004158.3,0.000267184448753595,0.000145394020622531,0.00103384626581966
AC004160.4,0,0.000225634620320282,0.00253694252333335
AC004221.2,0,0.00153773935211394,0.000478849428688758
AC004231.2,0.000369855356833241,0.00175653337975142,0.00045837387650271
AC004237.1,0.000485795856296473,0.00028293267207028,0
AC004257.1,0,0.00118701371702995,0.00331380218231887
AC004381.6,0.00330463563097678,0.0108726182675562,0.00640787294427743
AC004381.7,0,0,0
AC004448.2,0,0.000285190040772825,0
AC004448.5,0,0,0.00037339783855674
AC004449.6,0,0.000223373471464447,0
AC004471.10,0,6.54185500749006e-05,0
AC004471.9,0,0,0
AC004490.1,0.00079719818976408,0.000102067573580255,0.000326514598369739
AC004510.3,0.000925151480204942,0.00136679743875889,0.000919719099392664
AC004540.4,0.000320203454713497,0.00248392428474343,0.00201404111999511
AC004540.5,0.00450889296364941,0.0073223198017048,0.0176809248352911
AC004549.6,0.000686246091142265,0.00063477411044367,0.000281245725064979
AC004556.1,0.0394512626745379,0.20899437214222,0.119326047562744
AC004593.3,0,8.37217429876629e-06,0
AC004603.4,0,0.000202965245104179,0
AC004623.2,0,8.48056438447045e-05,0
AC004637.1,0,0,0
AC004692.4,0,1.20730268709914e-05,0
AC004702.2,0,0,0
AC004754.3,0,0.00425644126497134,0.00379483983714518
AC004775.5,0,0.000626624398721266,0
AC004791.2,0.00087330622444766,0.00144481487884382,0.00184943492853593
AC004813.1,0,1.70336655068444e-05,0
AC004824.2,0,1.45152406339786e-05,0
AC004837.5,0.00021635940169875,0,0
AC004854.4,0.00128400644442652,0.00163734809301419,0.000262084465734789
AC004862.6,0,0,0
AC004870.3,0,0,0
AC004878.2,0.00091216231769848,0.00187424587818705,0.0017690049604094
AC004878.8,0,0.000173821679535698,0
AC004893.11,0.00939045190981811,0.015126985977952,0.00916477292732087
AC004895.4,0.000226429585833116,0.00066528842276584,0.000798243254644186
AC004901.1,0,0.000292926252003995,0
AC004906.3,0,0,0
AC004920.3,0,7.46897081428699e-05,0
